CUR,PDT,TOA,RPB
0.0642,4.5,7704.0,2.0
0.023718055555555555,3.0,17077.0,0.5
0.1882462962962963,0.0,101653.0,0.0
0.7711133333333333,0.0,231334.0,0.0
0.36446333333333336,-5.0,109339.0,-0.5
0.7937133333333333,0.0,238114.0,0.0
0.9081983333333333,0.0,2724595.0,0.0
0.022476666666666666,-5.0,13486.0,-0.5
0.07763333333333333,4.0,65212.0,0.0
0.224325,-19.5,26919.0,-2.0
0.0287225,3.5,34467.0,0.0
0.05664679487179487,-9.0,88369.0,-1.0
0.0108484126984127,-8.0,41007.0,-0.5
0.8063928571428571,13.0,338685.0,1.5
0.24906066666666665,0.0,373591.0,0.0
0.65472,8.0,196416.0,1.5
0.884675,10.0,106161.0,0.0
0.5031322916666667,-3.0,966014.0,0.0
0.0,-12.0,0.0,-0.5
0.0,-12.0,0.0,-0.5
0.15882435897435898,-0.5,123883.0,0.0
0.0026333333333333334,-10.5,1896.0,-1.0
0.6320833333333333,12.0,265475.0,1.0
0.009987037037037037,-21.0,26965.0,-2.0
0.05900740740740741,-1.5,31864.0,0.0
0.7143166666666667,0.0,214295.0,0.0
-0.0010944444444444445,-7.0,-394.0,-0.5
0.37422666666666665,0.0,112268.0,0.0
0.13402666666666666,-10.5,40208.0,-1.0
0.32360666666666665,0.0,97082.0,0.0
0.08242463768115943,-10.5,113746.0,-1.0
0.50623,6.0,151869.0,1.0
0.825395,0.0,495237.0,0.0
0.04191466666666666,-21.0,125744.0,-2.0
0.019439333333333333,-21.0,58318.0,-2.0
0.02636666666666667,-15.0,25312.0,-1.0
0.6368910714285714,0.0,1069977.0,0.0
0.08966388888888889,-0.5,32279.0,0.0
0.0026,-7.5,780.0,0.0
0.03073988095238095,-3.5,51643.0,-1.0
0.7642365740740741,0.0,1650751.0,0.0
0.9353714285714285,0.0,392856.0,0.0
0.37935,0.0,22761.0,0.0
0.45849285714285715,0.0,385134.0,0.0
0.6132708333333333,3.0,147185.0,0.0
0.0,-21.0,0.0,-2.0
0.6610666666666667,2.5,79328.0,0.0
0.01093,-3.0,9837.0,0.0
0.05035745614035087,-10.5,114815.0,-1.0
0.9650833333333334,0.0,115810.0,0.0
0.5452666666666667,17.0,229012.0,1.5
0.441975,0.0,265185.0,0.0
0.023723118279569893,-21.0,44125.0,-2.0
0.23995462962962966,8.0,259151.0,1.5
0.19639,6.0,176751.0,1.0
0.002796,-21.0,8388.0,-2.0
0.0513,-3.0,55404.0,0.0
0.8818166666666667,0.0,952362.0,0.0
0.0056225,14.5,6747.0,1.0
0.951725,0.0,2284140.0,0.0
0.03656633333333333,0.0,109699.0,0.0
0.5815285714285714,-0.5,244242.0,0.0
0.52558,21.0,157674.0,2.0
0.19294666666666668,-6.0,57884.0,0.0
0.0031435897435897436,-14.0,2452.0,-1.0
0.39136333333333334,-13.5,469636.0,-2.0
0.38086666666666663,15.0,22852.0,2.0
0.006816666666666667,-1.5,8589.0,0.5
